date,app_version,1. How helpful did you find the recommendations from the Disney Genie My Day feature?,2. How many of the recommended experiences from Disney Genie service did you do (regardless of time)?,3. Did you try experiences at the times recommended by Disney Genie service?,4. Did you try any experience for the first time because Disney Genie service recommended it?,"5. Did Disney Genie service recommend the attractions and entertainment that you chose in ""My Top Picks""?",6. How often do you visit a Disney theme park?: I'm a first-time visitor.,6. How often do you visit a Disney theme park?: I visit every now and then.,6. How often do you visit a Disney theme park?: I visit frequently.,6. How often do you visit a Disney theme park?: I'm a Magic Key Pass holder.,os_name,os_version,os_api_level,manufacturer,model,locale_country_code,locale_language_code,carrier,email,name,ADBVisitorID,swid,conversation_id
2022-06-28 20:39:09 UTC,7.9,Somewhat helpful,I did all or most of the recommended experiences.,I mostly stuck to the times recommended for each experience.,"No, I didn't follow any recommendations from Disney Genie service.","Yes, it included all or most of My Top Picks.","",I visit every now and then.,"","",iPadOS,15.6,,,iPhone 12 Pro Max,US,en,,,,37235012433149471015566525037717622993,{F93361F4-7E6E-4F45-9E3A-4732084CE670},614bf1366df42b12c7026484
2022-06-28 20:50:16 UTC,7.9,Very helpful,I did some of the recommended experiences.,I occasionally followed the time recommendations.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 12 Pro,US,en,<null>|AT&T,,,55481609737242051457919621086659283142,{CEC53ECE-C62F-4573-B70F-BDDB95BE5C8C},628b23a31c5cd748ea846367
2022-06-28 21:21:09 UTC,7.9,Somewhat helpful,I didn't follow the recommended experiences at all.,I did not use Disney Genie My Day recommendations.,"No, I didn't follow any recommendations from Disney Genie service.","Yes, it included some but not all of My Top  Picks.","","",I visit frequently.,"",iOS,15.5,,,iPhone XR,US,en,<null>|T-Mobile,,,86383054508412099473007752636073717036,{354FE81D-3DEB-4664-AF8E-3191B83EF136},5e5853921a728765bc54369c
2022-06-28 21:21:43 UTC,7.9,Very helpful,I did all or most of the recommended experiences.,I mostly stuck to the times recommended for each experience.,"Yes, I tried more than one experience for the first time because Disney Genie service recommended it.","Yes, it included some but not all of My Top  Picks.","",I visit every now and then.,"","",iOS,15.3.1,,,iPhone 11,US,en,<null>|Verizon,,,42628772990094744765281791802288223769,{1C7E61BD-32EC-4589-8241-6CC517D7B1D8},60da26e71a36606c680af7a3
2022-06-28 21:21:59 UTC,7.9,Very helpful,I did all or most of the recommended experiences.,I mostly stuck to the times recommended for each experience.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone X,US,en,<null>|Verizon,,,11730382287184181442491011583528828285,{65324594-B555-45EE-AD3B-1CE0823210B1},60a9d9e74067326bf011eeb4
2022-06-28 21:30:40 UTC,7.9,Somewhat helpful,I did some of the recommended experiences.,I mostly stuck to the times recommended for each experience.,"Yes, I tried more than one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 8,US,en,<null>|AT&T,,,91695117987641280541498025034071814272,{9B70D86D-6DA4-4E83-B2EC-E93B1DACDA09},5e9c7b4c786ab604f8040bdc
2022-06-28 21:33:54 UTC,7.9,Somewhat helpful,I did some of the recommended experiences.,I occasionally followed the time recommendations.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 12 Max,US,en,<null>|Verizon,,,61121971132619328785199942045396628059,{FDF9A1A2-D84A-4453-B9A1-A2D84AA4535A},62a51afec6dff464b60171d5
2022-06-28 21:34:04 UTC,7.9,Very helpful,I did some of the recommended experiences.,I occasionally followed the time recommendations.,"Yes, I tried more than one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.","","",I visit frequently.,"",iOS,15.5,,,iPhone 12 Pro Max,US,en,<null>|T-Mobile,,,59371532774968979826063410277402026646,{9E78DAAC-A038-418F-9E77-B7D15B9B885D},62b203025d40e36bca013f6d
2022-06-28 21:39:02 UTC,7.9,Not helpful,I did one or two of my recommended experiences.,I occasionally followed the time recommendations.,"Yes, I tried one experience for the first time because Disney Genie service recommended it.","Yes, it included some but not all of My Top  Picks.",I'm a first-time visitor.,"","","",iOS,15.5,,,iPhone 12 Pro,US,en,<null>|Verizon,,,21549628602367807118639794320391669782,{143E2019-3175-498C-86E9-DE3F4E9D8BB9},62b9db46156bd968960017e0
2022-06-28 21:40:32 UTC,7.9,Somewhat helpful,I did one or two of my recommended experiences.,I did not stick to the times recommended by Disney Genie service at all.,I did not use Disney Genie My Day recommendations.,"Yes, it included all or most of My Top Picks.","",I visit every now and then.,"","",iOS,15.5,,,iPhone 11 Pro Max,US,en,<null>|Verizon,,,77532535472948480452379178825307590641,{B2A9DCA6-9178-498A-A9DC-A69178B98AE4},5eb9f64646661303e80c9041
2022-06-28 21:41:25 UTC,7.9,Very helpful,I didn't follow the recommended experiences at all.,I mostly stuck to the times recommended for each experience.,"Yes, I tried more than one experience for the first time because Disney Genie service recommended it.","Yes, it included all or most of My Top Picks.","","",I visit frequently.,"",iOS,15.5,,,iPhone 12 Pro,US,en,<null>|T-Mobile,,,00352729390204361194897615844875447559,{8C98A659-96EC-45C0-9A93-79FBBD41A014},626b55cd34aced10290454bb
